X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.57835740864209,6.213718728297707,673380.0,1642888.0,20.0,2018.0,1507.0,4.0,9.0,15.0,1.0,1.0,1.0,0
-75.59202233324395,6.279157200921898,557526.0,1620950.0,21.0,2018.0,715.0,3.0,3.0,7.0,1.0,1.0,2.0,1
-75.59588154527795,6.27555463184188,674912.0,1640270.0,30.0,2018.0,717.0,4.0,8.0,7.0,2.0,2.0,1.0,0
-75.56728372720755,6.248271123444315,674286.0,1641770.0,10.0,2018.0,1019.0,1.0,9.0,10.0,2.0,2.0,1.0,0
-75.57619463836652,6.213677283318125,681701.0,1645768.0,12.0,2018.0,1419.0,5.0,10.0,14.0,1.0,2.0,1.0,0
-75.60353169407537,6.257357647522813,685968.0,1653788.0,16.0,2018.0,1205.0,7.0,12.0,12.0,2.0,1.0,1.0,0
-75.57835740864209,6.213718728297707,679913.0,1647340.0,26.0,2018.0,1507.0,5.0,10.0,15.0,1.0,1.0,2.0,0
-75.54520414975282,6.277667661838403,674799.0,1641184.0,5.0,2018.0,302.0,3.0,9.0,3.0,1.0,2.0,1.0,0
-75.55924090360604,6.248664359177273,562288.0,1618534.0,2.0,2018.0,1016.0,5.0,3.0,10.0,2.0,2.0,1.0,1
-75.54600542598799,6.233017617772902,550047.0,1612113.0,6.0,2018.0,904.0,6.0,1.0,9.0,2.0,2.0,1.0,1
-75.60281805575202,6.240998153058458,685200.0,1651391.0,27.0,2018.0,1109.0,2.0,11.0,11.0,1.0,2.0,1.0,0
-75.59663343662265,6.263845640107039,552945.0,1622366.0,4.0,2018.0,1114.0,3.0,4.0,11.0,2.0,2.0,1.0,1
-75.53510995771174,6.233201993052537,672413.0,1644072.0,29.0,2018.0,815.0,6.0,9.0,8.0,3.0,1.0,3.0,0
-75.56526148106205,6.248366686534277,666756.0,1637771.0,10.0,2018.0,1019.0,5.0,8.0,10.0,1.0,2.0,1.0,0
-75.57503658102446,6.250174592882353,685295.0,1652128.0,3.0,2018.0,1007.0,1.0,12.0,10.0,1.0,2.0,1.0,0
-75.57186958155609,6.250110908970113,550606.0,1612906.0,13.0,2018.0,1006.0,6.0,1.0,10.0,2.0,2.0,1.0,1
-75.5767079263262,6.225385405425178,667974.0,1637421.0,6.0,2018.0,1504.0,1.0,8.0,15.0,1.0,2.0,1.0,0
-75.64497721496673,6.182481247835216,565580.0,1623105.0,9.0,2018.0,8000.0,1.0,4.0,20.0,1.0,2.0,1.0,1
-75.5655865684844,6.272327370085992,560814.0,1628149.0,21.0,2018.0,405.0,1.0,5.0,4.0,1.0,1.0,1.0,1
-75.64175712047401,6.174801484846728,562204.0,1619382.0,9.0,2018.0,8000.0,5.0,3.0,20.0,1.0,1.0,1.0,1
-75.56871539289821,6.247466241854768,551923.0,1614173.0,23.0,2018.0,1019.0,2.0,1.0,10.0,2.0,2.0,1.0,1
-75.60414363476724,6.23113119545634,679663.0,1648017.0,1.0,2018.0,1603.0,4.0,11.0,16.0,1.0,2.0,1.0,0
-75.57480537927651,6.254322184626273,680612.0,1646840.0,22.0,2018.0,1006.0,1.0,10.0,10.0,1.0,2.0,1.0,0
-75.57902841348013,6.273525495533682,560119.0,1628356.0,23.0,2018.0,519.0,3.0,5.0,5.0,2.0,2.0,1.0,1
-75.57019302462426,6.2362677974736025,551294.0,1613438.0,18.0,2018.0,1020.0,4.0,1.0,10.0,1.0,1.0,2.0,1
-75.55824859523065,6.232397195084332,684127.0,1653034.0,12.0,2018.0,913.0,3.0,12.0,9.0,1.0,2.0,1.0,0
-75.59623229528279,6.265278578765558,550339.0,1612374.0,9.0,2018.0,1114.0,2.0,1.0,11.0,1.0,1.0,6.0,1
-75.55972487705974,6.239069892929572,677675.0,1649613.0,14.0,2018.0,911.0,3.0,11.0,9.0,2.0,1.0,1.0,0
-75.54923498005377,6.264700958610848,553562.0,1620540.0,17.0,2018.0,308.0,6.0,3.0,3.0,1.0,2.0,1.0,1
-75.60776571879963,6.241934367031965,666711.0,1637103.0,3.0,2018.0,1110.0,5.0,8.0,11.0,1.0,2.0,1.0,0
-75.60540672269002,6.238690832384374,666793.0,1638351.0,15.0,2018.0,1110.0,3.0,8.0,11.0,2.0,1.0,1.0,0
-75.55748917205214,6.310701225729282,664953.0,1630886.0,12.0,2018.0,501.0,2.0,6.0,5.0,1.0,1.0,1.0,0
-75.59176995816269,6.2538346733161125,550882.0,1613003.0,15.0,2018.0,1116.0,1.0,1.0,11.0,1.0,2.0,1.0,1
-75.57511466104,6.251361514830271,683614.0,1654530.0,22.0,2018.0,1008.0,6.0,12.0,10.0,1.0,2.0,1.0,0
-75.55385915164545,6.2353604976394905,556569.0,1620276.0,13.0,2018.0,910.0,2.0,3.0,9.0,2.0,2.0,1.0,1
