ID,DIRECCION,VELOCIDAD Max. KMH,POINT_X,POINT_Y,Localización
1,Cr 49 Cl 18,80,-75.576640273,6.22,"(6.22, -75.576640273)"
2,Cr 80 Cl 55,60,-75.595298734,6.26940876,"(6.26940876, -75.595298734)"
3,Cr 65 Cl 2A Sur,60,-75.589221,6.207424,"(6.207424, -75.589221)"
4,Cr 25 Cl 12 Sur,60,-75.561675364,6.186832788,"(6.186832788, -75.561675364)"
5,Cl 33 Cr 76,60,-75.596935,6.238922,"(6.238922, -75.596935)"
6,Cl 35 Cr 84,60,-75.606684,6.244196,"(6.244196, -75.606684)"
7,Cr 46 Cl 41,60,-75.56965,6.2412,"(6.2412, -75.56965)"
8,Cl 10 Cr 48,60,-75.576821,6.213157,"(6.213157, -75.576821)"
9,Cr 43A Cl 31,60,-75.569976651,6.231336288,"(6.231336288, -75.569976651)"
10,Cr 49 Cl 18,80,-75.57676,6.22,"(6.22, -75.57676)"
11,Cl 44 Cr 53A,60,-75.573071561,6.245775531,"(6.245775531, -75.573071561)"
12,Cr 52 Cl 2 Sur,60,-75.586204166,6.20683606,"(6.20683606, -75.586204166)"
13,Cr 52 Cl 2 Sur,60,-75.586091091,6.20665647,"(6.20665647, -75.586091091)"
14,Cr 65 Cl 80,60,-75.573492,6.276353,"(6.276353, -75.573492)"
15,Cl 29 Cr 44,60,-75.571371667,6.229072698,"(6.229072698, -75.571371667)"
16,Cr 50 Cl 44,60,-75.569893531,6.244176652,"(6.244176652, -75.569893531)"
17,Cr 55 Cl 49,60,-75.572537061,6.250409954,"(6.250409954, -75.572537061)"
18,Cl 44 Cr 70,60,-75.588862652,6.249200576,"(6.249200576, -75.588862652)"
19,Cr 52 Cl 12A Sur,60,-75.589845564,6.197542789,"(6.197542789, -75.589845564)"
20,Cr 64 C Cl 101,80,-75.567623167,6.294444851,"(6.294444851, -75.567623167)"
21,Cr 50 Cl 14,80,-75.57813,6.21587,"(6.21587, -75.57813)"
