DIA,DIA_SEMANA,MES,OBJECTID,PERIODO,RADICADO,X,Y,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,NUM_BARRIO
20.0,0.0,9.0,673380.0,2018.0,1642888.0,-75.57835740864209,6.213718728297707,0.0,0.0,0.0,0.0,0.0
21.0,1.0,3.0,557526.0,2018.0,1620950.0,-75.59202233324395,6.279157200921898,1.0,0.0,0.0,1.0,1.0
30.0,0.0,8.0,674912.0,2018.0,1640270.0,-75.59588154527795,6.27555463184188,1.0,1.0,1.0,0.0,2.0
10.0,2.0,9.0,674286.0,2018.0,1641770.0,-75.56728372720755,6.248271123444315,2.0,1.0,1.0,0.0,3.0
12.0,3.0,10.0,681701.0,2018.0,1645768.0,-75.57619463836652,6.213677283318125,3.0,1.0,0.0,0.0,4.0
16.0,4.0,12.0,685968.0,2018.0,1653788.0,-75.60353169407537,6.257357647522813,4.0,0.0,1.0,0.0,5.0
26.0,3.0,10.0,679913.0,2018.0,1647340.0,-75.57835740864209,6.213718728297707,0.0,0.0,0.0,1.0,0.0
5.0,1.0,9.0,674799.0,2018.0,1641184.0,-75.54520414975282,6.277667661838403,5.0,1.0,0.0,0.0,6.0
2.0,3.0,3.0,562288.0,2018.0,1618534.0,-75.55924090360604,6.248664359177273,2.0,1.0,1.0,0.0,7.0
6.0,5.0,1.0,550047.0,2018.0,1612113.0,-75.54600542598799,6.233017617772902,6.0,1.0,1.0,0.0,8.0
27.0,6.0,11.0,685200.0,2018.0,1651391.0,-75.60281805575202,6.240998153058458,7.0,1.0,0.0,0.0,9.0
4.0,1.0,4.0,552945.0,2018.0,1622366.0,-75.59663343662265,6.263845640107039,7.0,1.0,1.0,0.0,10.0
29.0,5.0,9.0,672413.0,2018.0,1644072.0,-75.53510995771174,6.233201993052537,8.0,0.0,2.0,2.0,11.0
10.0,3.0,8.0,666756.0,2018.0,1637771.0,-75.56526148106205,6.248366686534277,2.0,1.0,0.0,0.0,3.0
3.0,2.0,12.0,685295.0,2018.0,1652128.0,-75.57503658102446,6.250174592882353,2.0,1.0,0.0,0.0,12.0
13.0,5.0,1.0,550606.0,2018.0,1612906.0,-75.57186958155609,6.250110908970113,2.0,1.0,1.0,0.0,13.0
6.0,2.0,8.0,667974.0,2018.0,1637421.0,-75.5767079263262,6.225385405425178,0.0,1.0,0.0,0.0,14.0
9.0,2.0,4.0,565580.0,2018.0,1623105.0,-75.64497721496673,6.182481247835216,9.0,1.0,0.0,0.0,15.0
21.0,2.0,5.0,560814.0,2018.0,1628149.0,-75.5655865684844,6.272327370085992,10.0,0.0,0.0,0.0,16.0
9.0,3.0,3.0,562204.0,2018.0,1619382.0,-75.64175712047401,6.174801484846728,9.0,0.0,0.0,0.0,15.0
23.0,6.0,1.0,551923.0,2018.0,1614173.0,-75.56871539289821,6.2474662418547675,2.0,1.0,1.0,0.0,3.0
1.0,0.0,11.0,679663.0,2018.0,1648017.0,-75.60414363476724,6.23113119545634,11.0,1.0,0.0,0.0,17.0
22.0,2.0,10.0,680612.0,2018.0,1646840.0,-75.57480537927651,6.254322184626273,2.0,1.0,0.0,0.0,13.0
23.0,1.0,5.0,560119.0,2018.0,1628356.0,-75.57902841348013,6.273525495533682,12.0,1.0,1.0,0.0,18.0
18.0,0.0,1.0,551294.0,2018.0,1613438.0,-75.57019302462426,6.2362677974736025,2.0,0.0,0.0,1.0,19.0
