;Longitude;Latitude;
75°33'12.815W,6°15'45.722N;-75.5535597;6.2627006;
75°33'11.994W,6°15'46.595N;-75.5533317;6.2629431;
75°33'10.236W,6°16'55.692N;-75.5528433;6.2821367;
75°33'9.956W,6°16'49.732N;-75.5527656;6.2804811;
75°33'43.234W,6°16'43.234N;-75.5620094;6.2786761;
75°33'10.961W,6°16'43.618N;-75.5530447;6.2787828;
75°33'12.670W,6°16'34.394N;-75.5535194;6.2762206;
75°33'8.923W,6°16'33.808N;-75.5524786;6.2760578;
75°33'14.862W,6°16'22.070N;-75.5541283;6.2727972;
75°33'11.183W,6°16'21.408N;-75.5531064;6.2726133;
75°33'16.059W,6°16'16.004N;-75.5544608;6.2711122;
75°33'12.245W,6°16'15.255N;-75.5534014;6.2709042;
75°33'17.865W,6°16'5.887N;-75.5549625;6.2683019;
75°33'17.855W,6°16'5.772N;-75.5549597;6.26827;
75°33'18.454W,6°15'58.372N;-75.5551261;6.2662144;
75°33'19.381W,6°15'51.672N;-75.5553836;6.2643533;
75°33'14.929W,6°15'51.241N;-75.5541469;6.2642336;
75°33'19.728W,6°15'47.344N;-75.55548;6.2631511;
75°33'11.990W,6°15'46.581N;-75.5533306;6.2629392;
75°33'12.820W,6°15'45.721N;-75.5535611;6.2627003;
75°33'22.801W,6°15'41.083N;-75.5563336;6.2614119;
75°33'50.388W,6°13'45.424N;-75.5639967;6.2292844;
75°33'20.841W,6°14'19.539N;-75.5557892;6.2387608;
75°33'16.109W,6°14'16.486N;-75.5544747;6.2379128;
75°33'13.695W,6°14'21.094N;-75.5538042;6.2391928;
75°32'27.830W,6°14'2.050N;-75.5410639;6.2339028;
75°32'32.271W,6°14'9.057N;-75.5422975;6.2358492;
75°32'35.748W,6°14'10.900N;-75.5432633;6.2363611;
75°33'47.386W,6°14'6.745N;-75.5631628;6.2352069;
75°33'49.028W,6°14'8.127N;-75.5636189;6.2355908;
75°33'40.202W,6°14'14.990N;-75.5611672;6.2374972;
75°33'41.680W,6°14'16.325N;-75.5615778;6.2378681;
75°33'31.074W,6°14'25.338N;-75.5586317;6.2403717;
75°33'33.208W,6°14'27.478N;-75.5592244;6.2409661;
75°33'28.998W,6°14'28.390N;-75.558055;6.2412194;
75°33'31.374W,6°14'29.686N;-75.558715;6.2415794;
75°33'36.231W,6°14'32.124N;-75.5600642;6.2422567;
75°33'1.122W,6°14'31.388N;-75.5503117;6.2420522;
75°33'4.733W,6°14'30.313N;-75.5513147;6.2417536;
75°33'5.988W,6°14'27.856N;-75.5516633;6.2410711;
75°33'12.342W,6°14'34.709N;-75.5534283;6.2429747;
75°33'10.507W,6°14'27.145N;-75.5529186;6.2408736;
75°33'12.747W,6°14'28.412N;-75.5535408;6.2412256;
75°33'15.316W,6°14'29.776N;-75.5542544;6.2416044;
75°33'14.080W,6°14'32.732N;-75.5539111;6.2424256;
75°33'13.597W,6°14'35.285N;-75.5537769;6.2431347;
75°33'18.386W,6°14'31.369N;-75.5551072;6.2420469;
75°33'21.225W,6°14'32.828N;-75.5558958;6.2424522;
75°33'23.427W,6°14'33.903N;-75.5565075;6.2427508;
75°33'25.184W,6°14'34.863N;-75.5569956;6.2430175;
75°33'27.328W,6°14'35.976N;-75.5575911;6.2433267;
75°33'29.703W,6°14'37.358N;-75.5582508;6.2437106;
75°33'27.154W,6°14'39.854N;-75.5575428;6.2444039;
