X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO
-75.6080139994963,6.238633000867679,66,Cr 83C Cl 33,El Castillo,https://www.medellin.gov.co/simm/camaras-cctv/imagen77.jpg
-75.6073709993657,6.2521480005650805,67,Cr 89 Cl 44,Everest,https://www.medellin.gov.co/simm/camaras-cctv/imagen78.jpg
-75.6195080001724,6.276614999732491,68,Cr 108BB Cl 62D ,Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen79.jpg
-75.5777330001714,6.270737999728559,69,Cr 65 Cl 71,La Florida,https://www.medellin.gov.co/simm/camaras-cctv/imagen80.jpg
-75.640979000204,6.276098000368661,70,Cr 134 Cl 59,Vivero Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen81.jpg
-75.5622687541782,6.295410482177969,71,Cr 63A Cl 103,Quebrada Tinajas,https://www.medellin.gov.co/simm/camaras-cctv/imagen17.jpg
-75.5752676190235,6.2491321181007,72,Cr 63A Cl 38 ,Estaciom Cisneros,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5753797737153,6.239531964547661,73,Cr 62 Cl 40,Glorieta Exposiciones,https://www.medellin.gov.co/simm/camaras-cctv/imagen54.jpg
-75.57067609400241,6.25804522057976,12,Cr 57 Cl 58A,Fatelares,https://www.medellin.gov.co/simm/camaras-cctv/imagen46.jpg
-75.5804983429118,6.219031549869079,26,Cr 52 Cl14,Centro Empresarial Olaya,https://www.medellin.gov.co/simm/camaras-cctv/imagen26.jpg
-75.5763087330104,6.19274528318349,39,Cr 43A Cl 12 Sur,Virgen Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen27.jpg
-75.57485600027971,6.2575710008296905,53,Cr 62 Cl 55,Minorista,https://www.medellin.gov.co/simm/camaras-cctv/imagen64.jpg
-75.5734924128904,6.27566867479459,8,Cr 65 Tv 78,Castipán,https://www.medellin.gov.co/simm/camaras-cctv/imagen40.jpg
-75.5693403541048,6.22542026338213,23,Cr 43A Cl 26,Astor,https://www.medellin.gov.co/simm/camaras-cctv/imagen28.jpg
-75.5766735134703,6.208795046862369,33,Cr 48 Cl 7,Av Las Vegas - Icollantas,https://www.medellin.gov.co/simm/camaras-cctv/imagen43.jpg
-75.5710359998809,6.283733000139071,49,Cr 64C Cl 88A,Tanques Ecopetrol,https://www.medellin.gov.co/simm/camaras-cctv/imagen60.jpg
-75.57997200005241,6.22176199991408,64,Cr 52 Cl 20,Zoológico,https://www.medellin.gov.co/simm/camaras-cctv/imagen75.jpg
-75.5744311861092,6.268198108722191,9,Cr 64C Cl 67,Coca-Cola,https://www.medellin.gov.co/simm/camaras-cctv/imagen4.jpg
-75.5753140000988,6.20137699916163,57,Cr 43C Cl 4S,Carulla Oviedo,https://www.medellin.gov.co/simm/camaras-cctv/imagen68.jpg
-75.56165850684809,6.30341707623143,2,Cr 64C Cl 104,Autopista Norte - Deprimido Feria de Ganado,https://www.medellin.gov.co/simm/camaras-cctv/imagen41.jpg
-75.5647698690414,6.20893903680441,32,Cl 10A 34,Hotel 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen39.jpg
-75.58399499933009,6.284234000454051,50,Cr 80 Cl 80,CAI López de Mesa,https://www.medellin.gov.co/simm/camaras-cctv/imagen61.jpg
-75.55986142727491,6.309479509912371,1,Cr 64AA Cl 113A,Autopista Norte - Solla,https://www.medellin.gov.co/simm/camaras-cctv/imagen6.jpg
