Longitude,Latitude
-75.5535597,6.2627006
-75.5533317,6.2629431
-75.5528433,6.2821367
-75.5527656,6.2804811
-75.5620094,6.2786761
-75.5530447,6.2787828
-75.5535194,6.2762206
-75.5524786,6.2760578
-75.5541283,6.2727972
-75.5531064,6.2726133
-75.5544608,6.2711122
-75.5534014,6.2709042
-75.5549625,6.2683019
-75.5549597,6.26827
-75.5551261,6.2662144
-75.5553836,6.2643533
-75.5541469,6.2642336
-75.55548,6.2631511
-75.5533306,6.2629392
-75.5535611,6.2627003
-75.5563336,6.2614119
-75.5639967,6.2292844
-75.5557892,6.2387608
-75.5544747,6.2379128
-75.5538042,6.2391928
-75.5410639,6.2339028
-75.5422975,6.2358492
-75.5432633,6.2363611
-75.5631628,6.2352069
-75.5636189,6.2355908
-75.5611672,6.2374972
-75.5615778,6.2378681
-75.5586317,6.2403717
-75.5592244,6.2409661
-75.558055,6.2412194
-75.558715,6.2415794
-75.5600642,6.2422567
-75.5503117,6.2420522
-75.5513147,6.2417536
-75.5516633,6.2410711
-75.5534283,6.2429747
-75.5529186,6.2408736
-75.5535408,6.2412256
-75.5542544,6.2416044
-75.5539111,6.2424256
-75.5537769,6.2431347
-75.5551072,6.2420469
-75.5558958,6.2424522
-75.5565075,6.2427508
-75.5569956,6.2430175
-75.5575911,6.2433267
-75.5582508,6.2437106
-75.5575428,6.2444039
-75.5565128,6.2453583
-75.5603431,6.2142153
-75.5598925,6.2135539
-75.5591844,6.2089678
-75.5548928,6.2080078
-75.5611261,6.2049625
-75.5570011,6.1977353
-75.5587392,6.1951586
-75.5596617,6.1922894
-75.5746178,6.2296731
-75.5731694,6.2303772
-75.5713883,6.2290333
-75.5707661,6.2285
-75.5750147,6.2255564
-75.5752614,6.2233272
-75.5691353,6.2250231
-75.5691889,6.2234339
-75.5754117,6.2212367
-75.5756047,6.2186556
-75.57568,6.2180583
-75.5694142,6.2200314
-75.5760233,6.2149867
-75.5699508,6.2146667
-75.5771767,6.2137972
-75.5761467,6.2139039
-75.5773589,6.2131894
-75.5763011,6.2128033
-75.5765586,6.2098383
-75.5768697,6.2070864
-75.5770489,6.2056839
-75.5639775,6.2124567
-75.5644817,6.2118489
-75.5747975,6.2125003
-75.5739472,6.2128708
-75.5637494,6.2086578
-75.5646969,6.2092475
-75.5652011,6.2094875
-75.5657269,6.2096475
-75.5651044,6.2084956
-75.5655981,6.2086769
-75.5661078,6.2088583
-75.5680603,6.2097008
-75.56879,6.2099836
-75.5721447,6.2122708
-75.571595,6.2121189
-75.5719597,6.2111908
-75.5711014,6.2108603
-75.5704578,6.2105456
-75.5708011,6.2097722
-75.5786008,6.2031061
-75.5772436,6.2034261
-75.5772331,6.2030847
-75.5771847,6.2027061
-75.5773564,6.2017781
-75.5804247,6.19036
-75.5814978,6.1878856
-75.5699633,6.1858042
-75.5779058,6.187455
-75.5771764,6.1898328
-75.5689794,6.1811183
-75.5699664,6.1858331
-75.5765111,6.1926856
-75.5635453,6.1899603
-75.5673486,6.1917736
-75.5718064,6.1935975
-75.5749125,6.1962694
-75.5743544,6.1977625
-75.5755239,6.1981678
-75.57635,6.1996078
-75.5759961,6.2004078
-75.5752772,6.201485
-75.5745261,6.2020183
-75.5733031,6.1998319
-75.5730669,6.2001731
-75.5725519,6.2009731
-75.5721336,6.2021783
-75.5744886,6.2045728
